                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.77043,                0.69256,                 1.0692,                0.75032,                0.69062,                0.75571,                0.58711,                 0.8332,                 1.0298,                 1.0829,                0.00406,                0.00406,                0.00406
                     62,                0.77123,                0.67676,                 1.0443,                0.80125,                0.66799,                0.75706,                0.59099,                0.82491,                 1.0716,                 1.0783,               0.003961,               0.003961,               0.003961
                     63,                0.74041,                0.67202,                 1.0437,                0.80898,                0.66768,                0.74565,                0.58562,                0.80834,                  1.041,                 1.0605,               0.003862,               0.003862,               0.003862
                     64,                0.75701,                0.64022,                 1.0394,                0.83174,                0.64448,                0.75071,                0.58329,                0.81768,                 1.0402,                 1.0681,               0.003763,               0.003763,               0.003763
                     65,                0.75224,                0.65216,                 1.0434,                0.77482,                0.69423,                0.76237,                0.59684,                0.81329,                 1.0037,                 1.0652,               0.003664,               0.003664,               0.003664
                     66,                0.75861,                0.65897,                 1.0524,                0.80699,                0.69627,                0.78566,                0.62916,                0.78632,                0.93729,                 1.0563,               0.003565,               0.003565,               0.003565
                     67,                0.72025,                  0.618,                 1.0313,                0.78911,                0.72862,                0.79086,                0.63171,                0.77371,                0.93565,                 1.0523,               0.003466,               0.003466,               0.003466
                     68,                0.73649,                0.63852,                 1.0407,                0.74948,                0.73727,                0.78746,                0.61429,                0.80141,                 1.0012,                  1.061,               0.003367,               0.003367,               0.003367
                     69,                0.73406,                0.63646,                 1.0386,                0.75843,                0.72456,                0.78498,                0.62357,                 0.8111,                0.99931,                 1.0647,               0.003268,               0.003268,               0.003268
                     70,                0.71238,                0.60787,                 1.0221,                0.82253,                0.67467,                0.79183,                0.62137,                0.82161,                0.98165,                  1.071,               0.003169,               0.003169,               0.003169
                     71,                0.71918,                0.60149,                 1.0331,                0.70104,                0.75319,                0.78426,                0.61777,                0.80639,                0.97687,                 1.0557,                0.00307,                0.00307,                0.00307
                     72,                 0.7043,                0.60047,                 1.0188,                0.81601,                0.65784,                0.79863,                0.63218,                0.79347,                0.92076,                 1.0463,               0.002971,               0.002971,               0.002971
                     73,                0.69727,                0.57783,                 1.0144,                0.73812,                0.67998,                0.76377,                0.60056,                0.81727,                 1.0132,                 1.0506,               0.002872,               0.002872,               0.002872
                     74,                0.70088,                0.59004,                 1.0234,                0.76773,                0.69644,                0.76599,                0.61025,                0.78646,                 0.9861,                 1.0445,               0.002773,               0.002773,               0.002773
